COD;DIRECCION;COMUNA;BARRIO;EAS;NIDO;NIDO_;MODALIDAD;CONTACTO;V_1;V_2;V_3;V_4;V_5;V_6;V_7;V_8;V_9;V_10;V_11;V_12;V_13;V_14;V_15;V_16;V_17;V_18;V_19;V_20;V_21
64;C 121B # 28B - 05;21;POTRERO GRANDE;COMFANDI;NIDO LA SELVA_POTRERO II;CFD_MF_NIDO LA SELVA_POTRERO II;FAMILIAR;3163408488;18;18;100,0;10;8;18;0;5;10;0;0;0;0;15;0;0;2;1;3;1;7
65;3.439222222,-76.59500556;56;LOS ANDES;COMFANDI;NIDO LA SELVA_SEMILLITAS;CFD_MF_NIDO LA SELVA_SEMILLITAS;FAMILIAR;3163408488;15;15;100,0;10;5;15;0;5;6;3;0;0;0;14;0;0;0;1;1;1;7
66;C 4 # 92 - 145;18;SILOE;COMFANDI;NIDO LA SELVA_TIGRILLOS;CFD_MF_NIDO LA SELVA_TIGRILLOS;FAMILIAR;3163408488;18;18;100,0;8;10;18;0;4;10;3;0;0;2;15;0;0;1;0;1;1;7
67;K 28D # 123 - 01;21;POTRERO GRANDE;COMFANDI;POTRERO GRANDE CANGUROS I;CFD_MF_POTRERO GRANDE CANGUROS I;FAMILIAR;3163117533;50;50;100,0;34;16;50;0;23;23;0;0;3;0;43;0;0;0;4;4;1;7
68;K 28D # 123 - 01;21;POTRERO GRANDE;COMFANDI;POTRERO GRANDE CANGUROS II;CFD_MF_POTRERO GRANDE CANGUROS II;FAMILIAR;3163117533;50;50;100,0;31;19;50;0;21;26;1;0;7;0;41;0;0;1;1;2;1;7
69;K 28D # 123 - 01;21;POTRERO GRANDE;COMFANDI;POTRERO GRANDE CANGUROS III;CFD_MF_POTRERO GRANDE CANGUROS III;FAMILIAR;3163117533;50;50;100,0;26;24;50;0;18;27;0;0;8;0;37;1;0;2;3;5;0;6
70;K 28D # 123 - 01;21;POTRERO GRANDE;COMFANDI;POTRERO GRANDE CANGUROS IV;CFD_MF_POTRERO GRANDE CANGUROS IV;FAMILIAR;3163117533;50;50;100,0;31;19;50;0;17;25;0;1;19;0;23;0;2;3;3;8;1;7
71;K 28D # 123 - 01;21;POTRERO GRANDE;COMFANDI;POTRERO GRANDE CANGUROS V;CFD_MF_POTRERO GRANDE CANGUROS V;FAMILIAR;3163117533;50;50;100,0;32;18;50;0;14;27;2;0;6;0;37;0;2;3;2;7;1;7
72;K 28D # 123 - 01;21;POTRERO GRANDE;COMFANDI;POTRERO GRANDE CANGUROS VI;CFD_MF_POTRERO GRANDE CANGUROS VI;FAMILIAR;3176263786;50;50;100,0;27;23;50;0;24;23;0;0;15;0;32;0;0;3;0;3;1;7
73;C 69 # 7C - 04;7;SAN MARINO;COMFANDI;SAN MARINO_BEDOYACDI;CFD_MF_SAN MARINO_BEDOYACDI;FAMILIAR;3107123062;50;48;96,0;26;22;48;0;17;25;0;0;2;0;40;0;1;3;2;6;0;6
74;C 69 # 7C - 04;7;SAN MARINO;COMFANDI;SAN MARINO_GOMEZCDI;CFD_MF_SAN MARINO_GOMEZCDI;FAMILIAR;3107123062;50;52;104,0;25;27;52;0;15;32;0;0;2;2;43;1;0;3;2;5;1;7
75;C 70 # 9 - 19;7;SAN MARINO;COMFANDI;SAN MARINO_MACAPUERTO;CFD_MF_SAN MARINO_MACAPUERTO;FAMILIAR;3107123062;50;50;100,0;33;17;50;0;15;24;3;0;5;0;37;0;0;4;4;8;0;6
76;C 69 # 7C - 04;7;SAN MARINO;COMFANDI;SAN MARINO_OLAVECDI;CFD_MF_SAN MARINO_OLAVECDI;FAMILIAR;3107123062;50;48;96,0;29;19;48;0;17;28;0;0;5;1;39;1;0;1;2;3;1;7
77;C 74 # 9 - 19;7;SAN MARINO;COMFANDI;SAN MARINO_VALENCIAPUERTO;CFD_MF_SAN MARINO_VALENCIAPUERTO;FAMILIAR;3107123062;50;48;96,0;32;16;48;0;14;26;0;0;2;0;38;0;2;2;4;8;1;7
78;C 69 # 7C - 04;7;SAN MARINO;COMFANDI;SAN MARINO_VILLEGASCDI;CFD_MF_SAN MARINO_VILLEGASCDI;FAMILIAR;3107123062;50;47;94,0;27;20;47;0;16;22;1;0;6;0;33;0;0;7;1;8;1;7
79;K 28B # 72S - 121;21;POTRERO GRANDE;FUNDACOBA;NIDO SEMILLEROS DEL FUTURO;FDC_MF_ NIDO SEMILLEROS DEL FUTURO;FAMILIAR;3136360087;50;49;98,0;31;18;49;0;13;20;7;0;1;0;39;1;4;4;1;9;1;6
